Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Clark - Y,5.0,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.3,0.01,0.01,0.08853931605982955,8390283.280011585
Clark - Y,5.0,0.35,0.01,0.012,0.08782747014473169,7075944.811741125
Clark - Y,5.0,0.39999999999999997,0.01,0.012,0.08704644059343951,7153983.884539392
Clark - Y,5.0,0.44999999999999996,0.01,0.014,0.08724141007565883,6194263.6734146485
Clark - Y,5.0,0.49999999999999994,0.015,0.016,0.08830744964994926,2431484.7385254255
Clark - Y,5.0,0.5499999999999999,0.015,0.016,0.08921748627641439,2452630.8098643124
Clark - Y,5.0,0.5999999999999999,0.015,0.018000000000000002,0.0900463478636546,2197738.0015506814
Clark - Y,5.0,0.6499999999999999,0.015,0.018000000000000002,0.09080359119090614,2214291.744265466
Clark - Y,5.0,0.7,0.015,0.02,0.0915138702579407,2006884.5636679132
Clark - Y,5.0,0.7499999999999999,0.019999999999999997,0.016,0.09217346876411592,1420386.539559384
Clark - Y,5.0,0.7999999999999998,0.019999999999999997,0.02,0.09279280807901598,1143332.748199352
Clark - Y,5.0,0.8499999999999999,0.019999999999999997,0.022,0.0933669724582064,1045433.2865525939
Clark - Y,5.0,0.8999999999999999,0.019999999999999997,0.022,0.09389871082219708,1051155.2772776186
Clark - Y,5.0,0.9499999999999998,0.019999999999999997,0.022,0.09441574634438793,1056583.8325808481
Clark - Y,5.0,0.9999999999999998,0.019999999999999997,0.024,0.09487379478033502,973262.5467756725
Clark - Y,5.5,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.3,0.01,0.01,0.08751902106267147,8799803.342730232
Clark - Y,5.5,0.35,0.01,0.012,0.08680548033070008,7421313.527717767
Clark - Y,5.5,0.39999999999999997,0.01,0.012,0.08644407070479534,7503161.597771587
Clark - Y,5.5,0.44999999999999996,0.01,0.014,0.08751572943689205,6496598.548576227
Clark - Y,5.5,0.49999999999999994,0.015,0.01,0.08838916355851693,4080260.332729846
Clark - Y,5.5,0.5499999999999999,0.015,0.016,0.08917453742526825,2572340.8946804153
Clark - Y,5.5,0.5999999999999999,0.015,0.016,0.08990152089298831,2593132.944734409
Clark - Y,5.5,0.6499999999999999,0.015,0.018000000000000002,0.09057000882598601,2322368.77381574
Clark - Y,5.5,0.7,0.015,0.018000000000000002,0.0911986532461315,2338709.2084788894
Clark - Y,5.5,0.7499999999999999,0.015,0.018000000000000002,0.09178274422113322,2354115.9040184324
Clark - Y,5.5,0.7999999999999998,0.019999999999999997,0.012,0.09233170210074912,1998562.5045236268
Clark - Y,5.5,0.8499999999999999,0.019999999999999997,0.02,0.09284037390291232,1206105.6492187579
Clark - Y,5.5,0.8999999999999999,0.019999999999999997,0.022,0.09331239707019678,1102460.9556095155
Clark - Y,5.5,0.9499999999999998,0.019999999999999997,0.022,0.09376711329623179,1108154.4724443231
Clark - Y,5.5,0.9999999999999998,0.019999999999999997,0.022,0.09417419745890772,1113563.3134373904
Clark - Y,6.0,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.3,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.35,0.01,0.01,0.08583812636790912,9301571.013725422
Clark - Y,6.0,0.39999999999999997,0.01,0.012,0.08680463607989336,7836796.699181322
Clark - Y,6.0,0.44999999999999996,0.01,0.012,0.08766417378713785,7916388.529149375
Clark - Y,6.0,0.49999999999999994,0.01,0.014,0.08842622689099902,6849149.346102478
Clark - Y,6.0,0.5499999999999999,0.015,0.014,0.08912543710930172,3070539.9309596517
Clark - Y,6.0,0.5999999999999999,0.015,0.016,0.08977816981882114,2708439.027605173
Clark - Y,6.0,0.6499999999999999,0.015,0.016,0.09038073930664396,2728839.4587712274
Clark - Y,6.0,0.7,0.015,0.018000000000000002,0.09094811841833289,2442702.101844065
Clark - Y,6.0,0.7499999999999999,0.015,0.018000000000000002,0.09147533001685254,2458793.870517344
Clark - Y,6.0,0.7999999999999998,0.015,0.018000000000000002,0.09197121564070804,2473991.6520421095
Clark - Y,6.0,0.8499999999999999,0.019999999999999997,0.01,0.09243045320695564,2519472.5310111186
Clark - Y,6.0,0.8999999999999999,0.019999999999999997,0.018000000000000002,0.09285736203655363,1407368.0055246765
Clark - Y,6.0,0.9499999999999998,0.019999999999999997,0.02,0.0932652314045958,1273172.557799543
Clark - Y,6.0,0.9999999999999998,0.019999999999999997,0.022,0.09363385728915542,1163078.9481686456
Clark - Y,6.5,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.3,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.35,0.01,0.01,0.08613225454793634,9681382.060445968
Clark - Y,6.5,0.39999999999999997,0.01,0.012,0.08701035264568718,8156796.616707087
Clark - Y,6.5,0.44999999999999996,0.01,0.012,0.08776043632933822,8239638.41984698
Clark - Y,6.5,0.49999999999999994,0.01,0.014,0.08844540735978298,7128820.659523611
Clark - Y,6.5,0.5499999999999999,0.01,0.014,0.08908043094146635,7190818.396067018
Clark - Y,6.5,0.5999999999999999,0.015,0.016,0.08967621595673299,2819032.7176964018
Clark - Y,6.5,0.6499999999999999,0.015,0.016,0.09022764924065543,2840266.159662814
Clark - Y,6.5,0.7,0.015,0.016,0.09074715328716101,2860250.575631202
Clark - Y,6.5,0.7499999999999999,0.015,0.018000000000000002,0.09122979174927962,2559193.7999758446
Clark - Y,6.5,0.7999999999999998,0.015,0.018000000000000002,0.09168404845690396,2575012.152509553
Clark - Y,6.5,0.8499999999999999,0.015,0.018000000000000002,0.09210446797022803,2589975.458960358
Clark - Y,6.5,0.8999999999999999,0.015,0.02,0.09249591683139577,2343736.100669746
Clark - Y,6.5,0.9499999999999998,0.019999999999999997,0.016,0.09286708216929312,1656450.0156403985
Clark - Y,6.5,0.9999999999999998,0.019999999999999997,0.02,0.09320548540858627,1331628.0456036266
Clark - Y,7.0,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.0,0.3,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.0,0.35,0.01,0.01,0.08639725411305486,10046844.971296867
Clark - Y,7.0,0.39999999999999997,0.01,0.01,0.08715472580757126,10157649.46270655
Clark - Y,7.0,0.44999999999999996,0.01,0.012,0.08783092840094404,8550676.88754458
Clark - Y,7.0,0.49999999999999994,0.01,0.012,0.08845805825527588,8630914.622703316
Clark - Y,7.0,0.5499999999999999,0.01,0.014,0.08904294972878883,7462264.911246251
Clark - Y,7.0,0.5999999999999999,0.01,0.014,0.08959343644574015,7522581.872295879
Clark - Y,7.0,0.6499999999999999,0.015,0.016,0.0901038870804793,2947483.4899799945
Clark - Y,7.0,0.7,0.015,0.016,0.09058481219025168,2968222.29853261
Clark - Y,7.0,0.7499999999999999,0.015,0.016,0.09103145176107781,2987776.0323107885
Clark - Y,7.0,0.7999999999999998,0.015,0.018000000000000002,0.09145205906081326,2672216.397818431
Clark - Y,7.0,0.8499999999999999,0.015,0.018000000000000002,0.09184106558796866,2687744.5547727416
Clark - Y,7.0,0.8999999999999999,0.015,0.018000000000000002,0.09220379214946568,2702455.440308404
Clark - Y,7.0,0.9499999999999998,0.015,0.02,0.092545290126476,2444770.7293118592
Clark - Y,7.0,0.9999999999999998,0.019999999999999997,0.012,0.09285920470408449,2303159.550651039
Clark - Y,7.5,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.5,0.3,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.5,0.35,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.5,0.39999999999999997,0.01,0.01,0.08726662921097478,10514166.087129237
Clark - Y,7.5,0.44999999999999996,0.01,0.012,0.08788775779151796,8850791.443738785
Clark - Y,7.5,0.49999999999999994,0.01,0.012,0.08846933054296112,8933845.390127804
Clark - Y,7.5,0.5499999999999999,0.01,0.014,0.08901373874536914,7724178.01490995
Clark - Y,7.5,0.5999999999999999,0.01,0.014,0.08952718709089875,7786612.001106763
Clark - Y,7.5,0.6499999999999999,0.015,0.012,0.09000394999327639,4067913.6863307995
Clark - Y,7.5,0.7,0.015,0.016,0.09045302725047286,3072401.97103403
Clark - Y,7.5,0.7499999999999999,0.015,0.016,0.09086989409668698,3092642.0083893365
Clark - Y,7.5,0.7999999999999998,0.015,0.016,0.09126265008733407,3111757.599224903
